review_id,review_text,label,rating,verified_purchase,product,word_count,exclamation_count,caps_ratio,helpful_votes
1,Fits perfectly. Looks exactly like the pictures. Satisfied customer.,Genuine,4,No,Kitchen Knife,9,0,0.0526315789473684,6
2,I like that it is lightweight yet sturdy. Good value.,Genuine,5,Yes,Noise Cancelling Headphones,10,0,0.0476190476190476,19
3,Did exactly what I needed it to do. Good buy. Does the job.,Genuine,5,Yes,Protein Powder,13,0,0.0909090909090909,14
4,Great for the intended purpose. Would repurchase. Does the job.,Genuine,5,Yes,Speaker,10,0,0.0588235294117647,10
5,Best Resistance Bands purchase ever. Totally worth every penny. Buy now!,Fake,4,Yes,Resistance Bands,11,1,0.0847457627118644,7
6,My partner bought one too after seeing mine. Good product. Would buy again.,Genuine,5,No,Sunglasses,13,0,0.05,6
7,Did exactly what I needed it to do. Good buy. Good value.,Genuine,4,Yes,Sunglasses,12,0,0.0930232558139534,18
8,Solid everyday product. No major positives or negatives. Satisfied.,Genuine,5,Yes,Non-stick Pan,9,0,0.0535714285714285,10
9,Delivers what it promises. Satisfied with the purchase. Recommended.,Genuine,5,No,Water Bottle,9,0,0.0526315789473684,10
10,Arrived fast works great love it Water Bottle perfect five stars! WATER BOTTLE IS EXCELLENT!!!!!,Fake,4,No,Water Bottle,15,6,0.3289473684210526,3
11,Material feels durable. Let's see how it holds up over time. Recommended.,Genuine,5,Yes,Blender,12,0,0.0517241379310344,7
12,This product is worth ten times the asking price!!! What a steal!!!,Fake,5,Yes,Backpack,12,6,0.04,2
13,Good for the price. Don't expect premium quality at this price point. No complaints.,Genuine,4,No,Gaming Mouse,14,0,0.044776119402985,1
14,It took a week to arrive but the product quality is great. Worth the wait. No complaints.,Genuine,5,Yes,Electric Shaver,17,0,0.0428571428571428,11
15,Been using it for 3 weeks with no problems at all. Satisfied.,Genuine,5,Yes,Kitchen Knife,12,0,0.0425531914893617,5
16,"Average product, does what it needs to. Nothing to complain about. No complaints.",Genuine,3,No,Rice Cooker,13,0,0.0461538461538461,1
17,"This Desk Lamp is hands down the best investment I have ever made. Such a spectacular Desk Lamp, will buy again!!!!!",Fake,5,No,Desk Lamp,21,5,0.0786516853932584,0
18,Good for the price. Don't expect premium quality at this price point. Satisfied.,Genuine,4,No,Face Wash,13,0,0.046875,11
19,Simple and effective. That is all I needed. Good value.,Genuine,5,Yes,Mechanical Keyboard,10,0,0.0930232558139534,11
20,SUPER AMAZING Phone Case!!! HIGHLY RECOMMEND TO EVERYONE!!!,Fake,5,No,Phone Case,8,6,0.8478260869565217,16
21,It stopped working after 3 months. Disappointing for the price. Does the job.,Genuine,5,Yes,Vitamin C Tablets,13,0,0.0491803278688524,9
22,Perfect perfect perfect!!! Cannot say enough good things about Air Purifier!!!,Fake,5,No,Air Purifier,11,6,0.064516129032258,15
23,This Yoga Mat is the single best thing I have ever purchased online!!! Absolutely phenomenal Yoga Mat!!,Fake,5,Yes,Yoga Mat,17,5,0.0853658536585365,14
24,Been using it for 3 weeks with no problems at all. Would buy again.,Genuine,5,Yes,Water Bottle,14,0,0.0392156862745098,14
25,Water Bottle is pure magic!!! Do not think twice just buy it!!! WATER BOTTLE IS INCREDIBLE!!!!,Fake,4,Yes,Water Bottle,16,10,0.3768115942028985,18
26,I have tried many products but this Notebook beats all of them!!!!! This Notebook is truly wonderful!!,Fake,5,No,Notebook,17,7,0.050632911392405,11
27,Perfect perfect perfect!!! Cannot say enough good things about Non-stick Pan!!! Absolutely phenomenal Non-stick Pan!!,Fake,4,Yes,Non-stick Pan,15,8,0.075268817204301,19
28,Simple and reliable Phone Case. Does exactly what I needed. Shipping was prompt.,Genuine,4,Yes,Phone Case,13,0,0.0923076923076923,2
29,I've had it for 6 months with no problems. Great product. Satisfied.,Genuine,3,Yes,Face Wash,12,0,0.0576923076923076,4
30,Quality is what you'd expect at this price. Reasonable. Does the job.,Genuine,5,Yes,Moisturizer,12,0,0.0555555555555555,18
31,WOW WOW WOW!!! This Blender is absolutely incredible must buy!!!,Fake,4,No,Blender,10,6,0.2244897959183673,6
32,OUTSTANDING VALUE FOR MONEY BUY BUY BUY Kitchen Knife DO NOT HESITATE This Kitchen Knife is truly spectacular!!!!!,Fake,5,Yes,Kitchen Knife,18,5,0.5543478260869565,8
33,Customer service was helpful when I had a question. Product is good too. No complaints.,Genuine,5,No,Coffee Maker,15,0,0.0571428571428571,6
34,I have ordered this Smart Watch three times already it is that good!!!,Fake,5,No,Smart Watch,13,3,0.0545454545454545,17
35,100% recommend Resistance Bands to anyone and everyone without hesitation!!! RESISTANCE BANDS IS PERFECT!!,Fake,4,Yes,Resistance Bands,14,5,0.3095238095238095,3
36,OMG this Smart Watch changed my life forever!!! PERFECT!!! SMART WATCH IS SUPERB!!,Fake,4,No,Smart Watch,13,8,0.4838709677419355,13
37,Not the prettiest design but very practical and durable. Would buy again.,Genuine,5,Yes,Power Bank,12,0,0.0333333333333333,17
38,Arrived quickly and in perfect condition. Works like a charm. Good value.,Genuine,5,Yes,USB-C Hub,12,0,0.0508474576271186,8
39,The size is a bit smaller than I expected but still works fine. Does the job.,Genuine,5,Yes,Hair Dryer,16,0,0.05,1
40,My friends could not believe how great this product is!!! They all bought one!!!,Fake,5,Yes,Smart Watch,14,6,0.0327868852459016,19
